"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;"Артикул поставщика";Размер
"Домашняя одежда и текстиль";Платья;;;"м450 (501738771)";"М450 Платье Лето (черный )";690;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/ea1/b5xs3b0zpl07mnfl5ee3wkrcwvh50c20.JPG;;;;https://ivanushka-trikotazh.ru/catalog/platya/m450-plate-leto-chernyy-/;501738771;м450;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Одежда для мужчин";;;"м440 (0650824387)";"м440 Костюм мужской (тархун)";1240;RUB;"В наличии";"Ткань: Хлопок 74%, ПЭ 21%, ПУ 5%
Ткань: Футер двунитка с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/edc/ceu37w2vtxkztmw928i344ymhb5bbtu7.JPG;;;;https://ivanushka-trikotazh.ru/catalog/men/m440-kostyum-muzhskoy-tarkhun/;0650824387;м440;46/48/50/52/54/56
"Домашняя одежда и текстиль";Сарафаны;;;"м450 (135644879)";"М450 Платье ""Лето"" (абстракция )";690;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/dff/cut8huzkn10cjfklna7mqshwqf805ney.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sarafany/m450-plate-leto-abstraktsiya-/;135644879;м450;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";Платья;;;"м450 (01554458802)";"М450 Платье Лето (сиреневые тюльпаны )";690;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/d28/559dpgcl328apnfudmr5ifb2k05azh6r.JPG;;;;https://ivanushka-trikotazh.ru/catalog/platya/m450-plate-leto-sirenevye-tyulpany-/;01554458802;м450;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";Платья;;;"м450 (1860707316)";"М450 Платье Лето (коричневый )";690;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/3e5/343q426tzczwypr024sdr39k1ragfxwu.JPG;;;;https://ivanushka-trikotazh.ru/catalog/platya/m450-plate-leto-korichnevyy-/;1860707316;м450;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"м33 (389757680)";"М33 Сорочка Эля (голубой)";550;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/e1e/4ff5ny767vj6fin41zrec6nvbelse3up.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m33-sorochka-elya-goluboy/;389757680;м33;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"м33 (833866347)";"М33 Сорочка Эля (лиловый)";550;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/d93/up8gl7181ggflqsb7zn2d327076jri0q.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m33-sorochka-elya-lilovyy/;833866347;м33;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";Платья;;;"м447 (958545477)";"М447 Платье Вальс (коричневый)";600;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/1df/25adonurjg0nrs6c77uai2dmpnf53xja.JPG;;;;https://ivanushka-trikotazh.ru/catalog/platya/m447-plate-vals-korichnevyy/;958545477;м447;50/52/54/56/58/60
"Домашняя одежда и текстиль";Платья;;;"м447 (01478021642)";"М447 Платье Вальс (серый)";600;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/bd1/zyqs0xvr8z031ds1e4ru1of4qyd70d85.JPG;;;;https://ivanushka-trikotazh.ru/catalog/platya/m447-plate-vals-seryy/;01478021642;м447;50/52/54/56/58/60
"Домашняя одежда и текстиль";Платья;;;"м327 (0916656895)";"М327 Туника Лада (абстракция на зеленом новая)";630;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/b31/iwiuric8mpxu2m92pfe4x72f5onff6xd.JPG;;;;https://ivanushka-trikotazh.ru/catalog/platya/m327-tunika-lada-abstraktsiya-na-zelenom-novaya/;0916656895;м327;46/48/50/52/54/56/58/60
