"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;"Артикул поставщика";Размер
"Домашняя одежда и текстиль";"Сорочки женские";;;"М121 (2114727608)";"М121 Сорочка ""Света""";350;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/953/2rj56kcda29sa6txihsk8kiu03n062bi.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m121-sorochka-sveta/;2114727608;М121;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М125 (01945473016)";"М125 Сорочка Кимоно";310;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/4d4/oeae931hs1ynbuhz9s3hf732tvrz623i.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m125-sorochka-kimono/;01945473016;М125;46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М13 (01204244739)";"М13 Сорочка Ляля";290;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/65b/qbapc1h2e0fbnvv14m6ybcl69orm3764.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m13-sorochka-lyalya/;01204244739;М13;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Сорочки женские";;;"М142 (0613421182)";"М142 Сорочка Анюта";300;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/f8a/uiyle7w48ixo26iv1f7ei1etut5mrr0z.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m142-sorochka-anyuta/;0613421182;М142;42/44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М14 (0981530383)";"М14 Сорочка Анжелика (с резинкой)";330;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/83b/vktkao9jjq70q5t8dmauavpedxfk6aby.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m14-sorochka-anzhelika-s-rezinkoy/;0981530383;М14;46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М145 (42705437)";"М145 Сорочка ""Лена""";340;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/3a7/p5ol84h2ppg0o4rjl06d2x20735ovhy8.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m145-sorochka-lena/;42705437;М145;46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М154 (93908420)";"М154 Сорочка ""Полина""";310;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/c47/fnv5kr877xhs2rhx37iu05jgdeq2fjdj.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m154-sorochka-polina/;93908420;М154;42/44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М5 (2126184214)";"М5 Сорочка Ляля";130;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Иваново

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/f57/f57c2092c9041a6ba64df7fa0e312299.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m5-sorochka-lyalya/;2126184214;М5;42/44
"Домашняя одежда и текстиль";"Сорочки женские";;;"М57 (1592851438)";"М57 Сорочка Анжелика";320;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/492/uo6wr8dxbi16eddjveu2x348jf0v0q5p.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m57-sorochka-anzhelika/;1592851438;М57;44/46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М61 (1683339657)";"М61 Сорочка Кимоно";320;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/2c0/w2l0g6j396dwx8y651df034hrk3f12vp.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m61-sorochka-kimono/;1683339657;М61;44/46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М67 (051864229)";"М67 Сорочка Зоя";330;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/095/580bnjfkznooplij0wqeyu05krx6rv52.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m67-sorochka-zoya/;051864229;М67;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М7 (643506307)";"М7 Сорочка Крыло";340;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/2fe/x4zahlkivhuwpnxr7vi9axh7clboics0.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m7-sorochka-krylo/;643506307;М7;44/46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М74 (0697921377)";"М74 Сорочка Оля";310;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/5e0/qysoe50ypyi9o6umuun313m25wdkwnsp.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m74-sorochka-olya/;0697921377;М74;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М8 (01976110383)";"М8 Сорочка Принцесса";390;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/a6e/t2492r15dvwnsgovsdf5mamboudqkvet.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m8-sorochka-printsessa/;01976110383;М8;44/46/48/50/52/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М8 (1137713668)";"М8 Сорочка Уголок";370;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/bfa/5fgvvoo23lognj69mvpc2u12bula9aly.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m8-sorochka-ugolok/;1137713668;М8;44/46/48/50/52/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М84 (297190831)";"М84 Сорочка Нина";320;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/d50/kn5l1ndzp4rauhqjdxqdgk5rdtdf0vts.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m84-sorochka-nina/;297190831;М84;46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М82 (01345373444)";"М82 Сорочка Инга";320;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/184/tzu92zgehga1sswoq4vsnaddsoelhy8k.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m82-sorochka-inga/;01345373444;М82;46/48/50/52/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М9 (703145624)";"М9 Сорочка Матрешка";320;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/c2f/o6yejmp0t200ozzf3ww7a005t0esqn8i.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m9-sorochka-matreshka/;703145624;М9;42/44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М90 (309363308)";"М90 Сорочка для кормящих";330;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/a0e/t04posx3q5fv29bkkdfirxdojvsxpmnr.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m90-sorochka-dlya-kormyashchikh/;309363308;М90;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М98 (1950008775)";"М98 Сорочка Ника";330;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/ce5/ekf8ydcio9q2xxg61yknvuyc1q03038b.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m98-sorochka-nika/;1950008775;М98;46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М9а (01745865091)";"М9а Сорочка Матрешка";310;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/4ae/4mhotmffnazyl0xgwvpbj6yrpf3smiqv.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m9a-sorochka-matreshka/;01745865091;М9а;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Сорочки женские";;;"М303 (01348261805)";"М303 Сорочка женская";320;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя";https://ivanushka-trikotazh.ru/upload/iblock/9c7/sxw8clermtk3xrnjg437flz3f2q52a0q.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m303-sorochka-zhenskaya/;01348261805;М303;46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М10 (345023655)";"М10 Cорочка Шик";340;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/c7a/5trcnmied8bwwsesjppz9xb2j0tfwng8.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m10-corochka-shik/;345023655;М10;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М304 (2119910166)";"М304 Сорочка женская";310;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя";https://ivanushka-trikotazh.ru/upload/iblock/7d4/kyv3a1hj65or156pd0yd8qkqkp8lqsu0.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m304-sorochka-zhenskaya/;2119910166;М304;44/46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М183 (69214781)";"М183 Сорочка с капелькой";310;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/660/83n6qdclmhf4xtmx5j8sgxqlv55y1rax.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m183-sorochka-s-kapelkoy/;69214781;М183;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М18 (310478938)";"М18 Сорочка на тонкой бретельке (шитьё)";450;RUB;"В наличии";"Ткань: Хлопок 29% ПЭ 71%
Ткань: Батист

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/c40/c40e8395ac9f1a0ca7c3515012031356.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m18-sorochka-na-tonkoy-bretelke-shitye/;310478938;М18;42/44/50/52
"Домашняя одежда и текстиль";"Сорочки женские";;;"М66 (0516448890)";"М66 Сорочка Шарм (ассорти)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/46e/46ec557c933ced7562b016b235ece512.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m66-sorochka-sharm/;0516448890;М66;46/48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Сорочки женские";;;"М37 (0772715210)";"М37 Сорочка теплая, с 62 размера  цена 800";790;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/a4c/a4c0e7bd87c9a663258e4f4d433cdb35.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m37-sorochka-teplaya-futer/;0772715210;М37;46/48/50/52/54/56/58/60/62/64
"Домашняя одежда и текстиль";"Сорочки женские";;;"М6 (01462971849)";"М6 Сорочка фланелевая";630;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Фланель

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/17d/jam7mwap19p8zmi28z37ut55z64r8h1u.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m6-sorochka-flanelevaya/;01462971849;М6;44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М280 (689316588)";"М280 Сорочка теплая ""Арина""(ассорти)";740;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/0ee/85pc26190uvm3rsdh6x6dfs53vycwjs4.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m280-sorochka-teplaya-arina-futer/;689316588;М280;42/44
"Домашняя одежда и текстиль";"Сорочки женские";;;"М89 (973952063)";"М89 Сорочка Капелька";450;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/f80/u832wqk3huw32fr7zdw88ktkpcby51rs.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m89-sorochka-kapelka/;973952063;М89;44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М70б (01169893712)";"М70б Ночная Сорочка Женская Муза с рисунком";370;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/66d/66d83a094ea4ecb23b73730349f03927.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m70b-sorochka-muza-s-risunkom/;01169893712;М70б;42/44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М70 (2042697743)";"М70 Сорочка «Муза»";470;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/84f/84fdd9899ab90757f34052c668da0a53.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m70-sorochka-muza/;2042697743;М70;42/44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М39 (337510145)";"М39 Сорочка Вера";450;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/831/83141d8821162d920d0d90ff5266e4b9.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m39-sorochka-vera/;337510145;М39;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М36 (112168334)";"М36 Сорочка Матрешка";230;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Компьютерка

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/a4c/a4cca1e63bd7c709d03ca7e0271b3f11.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m36-sorochka-matreshka/;112168334;М36;42/44
"Домашняя одежда и текстиль";"Сорочки женские";;;"М34 (01880204216)";"М34 Сорочка Ляля (в ассортименте)";370;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/c27/c27377be9f479fd7e9cfea9fee0df812.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m34-sorochka-lyalya-kulirka/;01880204216;М34;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Сорочки женские";;;"М31 (01487807615)";"М31 Сорочка Кокетка";200;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/422/422cab0087b76bbf60a150b9029b8d68.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m31-sorochka-koketka/;01487807615;М31;42/44
"Домашняя одежда и текстиль";"Сорочки женские";;;"М33 (0351370984)";"М33 Сорочка Эля";300;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/3d7/3d76c10816ebbd70d696c43806bc91dd.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m33-sorochka-elya/;0351370984;М33;46/48
"Домашняя одежда и текстиль";"Сорочки женские";;;"М29 (0904576328)";"М29 Сорочка Соня";370;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/fc0/fc0abb44a00878eef0ba780953cfde20.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m29-sorochka-sonya/;0904576328;М29;42/44/50/52/54/56/58/60/62/64
"Домашняя одежда и текстиль";"Сорочки женские";;;"М172 (01889316198)";"М172 Сорочка Ночная";200;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/68c/68c67d78d9ed9274829b9c13762ab0c2.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m172-sorochka/;01889316198;М172;42/44
"Домашняя одежда и текстиль";"Сорочки женские";;;"М28 (0414000712)";"М28 Сорочка Аня (серая)";560;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/adf/adf3406926dac5124bdc41299b892ab5.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m28-sorochka-anya-assorti/;0414000712;М28;58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М171 (02011321707)";"М171 Сорочка";450;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/4ec/4ec87d2f1483cdb54fc65e635080d1e2.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m171-sorochka/;02011321707;М171;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М134 (0459296980)";"М134 Сорочка Анжелика (ассорти)";530;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/774/7747909d8647535a707ccdddc6aa8e64.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m134-sorochka-anzhelika-assorti/;0459296980;М134;46/48/50/52
"Домашняя одежда и текстиль";"Сорочки женские";;;"М129 (01668748644)";"М129 Сорочка Тома";280;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/211/211c56e9b081224d3c3198f0e322a4f5.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m129-sorochka-toma/;01668748644;М129;42/44
"Домашняя одежда и текстиль";"Сорочки женские";;;"М169 (0900060444)";"М169 Сорочка Света (розовый)";630;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/cc8/iz8q426jh750qap35ssbxkpn3r9lx2vr.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m169-sorochka-sveta/;0900060444;М169;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М180 (02083805496)";"М180 Сорочка Шурочка (ассорти)";580;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/57b/57bc6fb5ad4c612f2a2f0a0e88af520c.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m180-sorochka-shurochka-assorti/;02083805496;М180;46/48/50/52/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М179 (2079578577)";"М179 Сорочка Голубка (ассорти)";300;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/e3e/grsybdgdg4aixk35ur4ap0mwl9l1vtv3.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m179-sorochka-golubka/;2079578577;М179;46/48/50/52
"Домашняя одежда и текстиль";"Сорочки женские";;;"М155 (0922589120)";"М155 Сорочка Лора";200;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/d4e/d4e680e4f7dc4238250016fb27822e3b.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m155-sorochka-lora/;0922589120;М155;42/44
"Домашняя одежда и текстиль";"Сорочки женские";;;"М149 (403067696)";"М149 Сорочка ""Фая"" (ассорти)";340;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/e3f/e3facf9326c0c4111366ad98ac543acb.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m149-sorochka-faya-assorti/;403067696;М149;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Сорочки женские";;;"М76 (1181763892)";"М76 Сорочка «Моника» (розовый)";250;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/8b0/npyucivp44wrlo68kgeystag8zc4rvb7.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m76-sorochka-monika-rozovyy/;1181763892;М76;42/44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Сорочки женские";;;"М212 (574081730)";"М212 Сорочка женская «Веста» (розовая чешуя)";350;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/1f8/mukqiq4nhszb5kf9tsjcbzbsghsrtud5.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m212-sorochka-zhenskaya-vesta/;574081730;М212;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Сорочки женские";;;"С1 (1316718214)";"С1 Сорочка «Нежность»";320;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/708/708167716dd8eb558ad0101fb3148407.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/s-1-sorochka-nezhnost/;1316718214;С1;42/44
"Домашняя одежда и текстиль";"Сорочки женские";;;"С2 (01041078939)";"С2 Сорочка «Нежность»";320;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/0e6/0e6fd469ed329d02387f26ee9f4ded94.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/s-2-sorochka-nezhnost/;01041078939;С2;42/44/54/56
"Домашняя одежда и текстиль";"Сорочки женские";;;"М234 (01611988713)";"М234 Сорочка";300;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/f6b/f6bbbfccc78115a6ecdc26d8682aadd4.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m234-sorochka/;01611988713;М234;42/44/46/48/54/56
"Домашняя одежда и текстиль";"Сорочки женские";;;"М243 (125206194)";"М243 Сорочка «Мурка» (розовый)";250;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/b87/b87ed16ed13354b281e4fb93f293dd6e.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m-243-sorochka-murka-rozovyy/;125206194;М243;44/46
"Домашняя одежда и текстиль";"Сорочки женские";;;"М242 (02129891580)";"М242 Сорочка «Ласточка»";200;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/0d8/0d80c2e3e6c1d36f8befd9e728ec214b.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m-242-sorochka-lastochka/;02129891580;М242;44/46
"Домашняя одежда и текстиль";"Сорочки женские";;;"М25 (1911446697)";"М25 Сорочка-пеньюар «Сильва»";250;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/898/898a8b813eb24fbe2e3e083577e79665.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m-25-sorochka-penyuar-silva/;1911446697;М25;42/44
"Домашняя одежда и текстиль";"Сорочки женские";;;"М282 (01493283867)";"М282 Сорочка «Шокате»";440;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/dcf/zi332t6gpmmthjzf68po98e3cjo5e8h9.JPG;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m-282-sorochka-shokate/;01493283867;М282;42/44/46/48/54/56
"Домашняя одежда и текстиль";"Сорочки женские";;;"м296 (1167593909)";"М296 сорочка «Карина» (Серая)";530;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/808/808f8575937d5ed8f45f447704c8fe80.jpg;;;;https://ivanushka-trikotazh.ru/catalog/sorochki/m-296-sorochka-karina/;1167593909;м296;46/48
